work_title,total_sentences_before_processing,total_sentences_after_processing
பெரியார்_அறிவுச்_சுவடி,66,42
தொழிலியல்_விஞ்ஞானி_ஜி._டி._நாயுடு,8055,1932
ஆஞ்சநேய_புராணம்,59,47
கவிக்குயில்_சரோஜினியின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,1106,679
மாபாரதம்,3565,2857
இந்தியப்_பெருங்கடல்,550,428
இராணி_மங்கம்மாள்,3389,2436
பெஞ்சமின்_ஃபிராங்ளினின்_நம்மைமேம்படுத்தும்_எண்ணங்கள்,950,631
பிள்ளையார்_சிரித்தார்,845,651
சங்க_கால_வள்ளல்கள்,1024,780
தெய்வ_அரசு_கண்ட_இளவரசன்,826,712
மணி_பல்லவம்_2,2023,1378
பலம்_தரும்_பத்து_நிமிடப்_பயிற்சிகள்,1245,812
மனத்தின்_தோற்றம்,2654,1714
புத்தர்_பொன்மொழி_நூறு,489,233
கல்கி_முதல்_அகிலன்_வரை_நாவலாசிரியர்கள்,2461,1749
ஆப்பரேஷனுக்கு_அஞ்சவேண்டாம்,714,524
புகழ்பெற்ற_புதுக்கவிஞர்கள்,2025,1372
இந்திய_நாத்திகமும்_மார்க்சீயத்_தத்துவமும்,724,602
பூவும்_கனியும்,966,743
பாரதிதாசன்_தாலாட்டுகள்,738,526
மருத்துவ_களஞ்சியப்_பேரகராதி,21677,5731
பண்டிதரின்_கொடை-விகிதாச்சார_உரிமை_எனும்_சமூகநீதிக்_கொள்கை,883,477
பறவைகளைப்_பார்,729,575
பேசும்_ஓவியங்கள்,91,68
ஆண்_சிங்கம்,2539,2018
மழலை_அமுதம்,52,22
உலகம்_பிறந்த_கதை,1863,1469
அறிவுக்_கனிகள்,2029,739
உலக_அறிஞர்களின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,1697,1430
கடவுள்_கைவிடமாட்டார்,845,635
அதிகமான்_நெடுமான்_அஞ்சி,2118,1773
சீர்மிகு_சிவகங்கைச்_சீமை,11802,4290
வரலாற்றுக்_காப்பியம்,54,4
வேங்கடம்_முதல்_குமரி_வரை_1,3368,2581
இந்திய_சமுதாய_வரலாற்றில்_பெண்மை,2572,1917
அந்த_நாய்க்குட்டி_எங்கே,1965,1557
வேங்கடம்_முதல்_குமரி_வரை_3,3505,2577
கோவூர்_கிழார்,1214,1067
தமிழ்_நூல்களில்_பௌத்தம்,516,410
மாணவர்களுக்கு_புறநானூற்றுச்_சிறுகதைகள்,1800,1401
திருவிளையாடற்_புராணம்,2554,1738
ஏட்டில்_இல்லாத_மகாபாரதக்_கதைகள்,1875,1475
திருக்குறள்_புதைபொருள்_1,608,391
அசோகர்_கதைகள்,897,756
சீவக_சிந்தாமணி_(உரைநடை),5970,1791
ஒரே_உரிமை,2131,1578
நல்ல_கதைகள்,721,588
ரோஜாச்_செடி,995,326
ஆரியப்பார்ப்பனரின்_அளவிறந்த_கொட்டங்கள்,3965,2516
பாரதி_பிறந்தார்,24,8
விந்தன்_கதைகள்-2,6464,4599
கன்பூசியஸின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,843,520
ஐந்து_செல்வங்கள்,754,558
தமிழகத்தில்_குறிஞ்சி_வளம்,4684,3715
சதுரங்கம்_விளையாடுவது_எப்படி,672,412
நான்கு_நண்பர்கள்,1071,151
திருக்குறள்_புதைபொருள்_2,824,573
இயல்_தமிழ்_இன்பம்,2898,1999
சான்றோர்_தமிழ்,2015,1228
"எது_வியாபாரம்,_எவர்_வியாபாரி",642,430
நாடக_மேடை_நினைவுகள்,10303,6574
சிக்கிமுக்கிக்_கற்கள்,7950,2455
லியோ_டால்ஸ்டாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,1066,755
தில்லைப்_பெருங்கோயில்_வரலாறு,1806,873
கள்வர்_குகை,251,213
ஓலைக்_கிளி,266,248
திருக்குறள்_செய்திகள்,2580,1967
உத்தரகாண்டம்,7089,5817
சங்ககிரிக்_கோட்டையின்_மர்மம்,652,591
கெடிலக்_கரை_நாகரிகம்,7213,5000
நீங்களும்_இளமையாக_வாழலாம்,1694,1315
அன்னை_கஸ்தூரிபாயின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,1014,728
அர்த்தமுள்ள_விளையாட்டுக்கள்,1379,975
ஒரு_பூர்வ_பௌத்தனின்_சாட்சியம்,2337,1068
விடுகதை_விளையாட்டு,8,2
மணி_பல்லவம்_1,3901,2430
சுழலில்_மிதக்கும்_தீபங்கள்,7307,1737
இந்தியக்_கலைச்செல்வம்,2295,1699
நமக்கு_நாமே_உதவி,1271,994
திருக்குறள்_கட்டுரைகள்,1076,758
வாழ்க்கை_விநோதம்,1258,1049
சேக்கிழார்,878,681
கவியரசர்_இரவீந்திரநாத்_தாகூர்,1252,878
வேங்கடம்_முதல்_குமரி_வரை_4,3677,2928
உரைவேந்தர்_ஒளவை_சு._துரைசாமிபிள்ளை,1389,865
சீனத்தின்_குரல்,854,556
தமிழ்ப்_பழமொழிகள்_1,7347,5838
கப்பலோட்டிய_தமிழன்_வ._உ._சிதம்பரம்,1103,711
வித்தைப்_பாம்பு,191,173
கபாடபுரம்_(நா._பார்த்தசாரதி)|கபாடபுரம்,628,527
அலிபாபா_(2002),709,581
சேதுபதி_மன்னர்_வரலாறு,2584,1340
அறிவுக்_கதைகள்,2139,1567
சுதந்திரம்_பிறந்த_கதை,110,99
பொழுதுபோக்கு_விளையாட்டுக்கள்,572,308
ஹெர்க்குலிஸ்,1167,961
எனது_நண்பர்கள்,2484,1648
ஏலக்காய்,93,55
சிந்தனையாளன்_மாக்கியவெல்லி,2545,1928
வாழ்க்கை_நலம்,2299,1887
சிறந்த_கதைகள்_பதிமூன்று,3442,3025
தாவிப்_பாயும்_தங்கக்_குதிரை,415,359
ஆரிய_மாயை,1291,902
வேண்டும்_விடுதலை,5222,3144
அதிசயப்_பெண்,682,588
தந்தை_பெரியார்_சிந்தனைகள்,3713,2837
திருப்புமுனை,4503,469
தமிழ்_இலக்கிய_வரலாறு_(ரா._சீனிவாசன்),1582,1074
என்_பார்வையில்_கலைஞர்,10828,2497
குன்றக்குடி_அடிகளார்_நூல்வரிசை-11,7199,5716
திருக்குறளில்_செயல்திறன்,299,214
முதுமொழிக்_காஞ்சி-மூலமும்_உரையும்,359,228
அடிமனம்,1030,879
வேங்கடம்_முதல்_குமரி_வரை_5,2060,1600
பாட்டுப்_பாடுவோம்,87,60
பஞ்ச_தந்திரக்_கதைகள்,2666,2171
தமிழ்ச்_சொல்லாக்கம்,2635,1537
தமிழ்_வளர்த்த_நகரங்கள்,1320,1022
ஏழாவது_வாசல்,805,710
தந்தை_பெரியார்,1998,1521
1806,367,206
வெளிநாட்டு_விடுகதைகள்,488,230
கந்தர்_அலங்காரச்_சொற்பொழிவுகள்-1,7210,6072
ஆல்பர்ட்_ஐன்ஸ்டைனின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,846,510
அண்ணா_சில_நினைவுகள்,4747,3143
சோழர்_கால_அரசியல்_தலைவர்கள்,1467,756
சிலம்பின்_கதை,12144,2443
தென்னைமரத்_தீவினிலே,1352,1051
காலனைக்_கட்டி_யடக்கிய_கடோரசித்தன்_கதை,462,325
ஊர்வலம்_போன_பெரியமனுஷி,306,238
தஞ்சைச்_சிறுகதைகள்,8174,6452
எழு_பெரு_வள்ளல்கள்,1118,1025
தமிழ்_வளர்த்த_ஞானியாரடிகள்,3668,2475
பத்தொன்பதாம்_நூற்றாண்டின்_தமிழ்_உரைநடை_வளர்ச்சி,2388,1417
வாழ்க்கை_(லியோ_டால்ஸ்டாய்),1826,1455
வினோத_விடிகதை,54,5
மிஸ்டர்_விக்கிரமாதித்தன்_கதைகள்,4245,2617
திரும்பி_வந்த_மான்_குட்டி,891,758
செயலும்_செயல்திறனும்,4750,3210
ஆரியர்க்கு_முற்பட்ட_தமிழ்ப்பண்பாடு,2684,1357
பாப்பா_முதல்_பாட்டி_வரை,2908,2179
நல்ல_நண்பர்கள்,396,333
ஈரோட்டுத்_தாத்தா,140,68
நான்_கண்ட_நாடகக்_கலைஞர்கள்,1088,648
கலீலியோவின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,846,463
தெளிவு_பிறந்தது,343,283
உடற்கல்வி_என்றால்_என்ன,6663,2206
மகாபாரதம்-அறத்தின்_குரல்,9880,7637
பாரதியின்_இலக்கியப்_பார்வை,932,758
இலக்கியத்_தூதர்கள்,1303,950
தான்பிரீன்_தொடரும்_பயணம்,2933,2392
மாய_வினோதப்_பரதேசி-1,4855,3329
அமிழ்தின்_ஊற்று,148,96
சொன்னால்_நம்பமாட்டீர்கள்,21466,2744
அவள்_ஒரு_எக்ஸ்ட்ரா,468,368
உலக_வரலாற்றில்_விடுதலை_வீரர்கள்,1241,919
கடல்வீரன்_கொலம்பஸ்,2014,1602
சோழர்_வரலாறு,14073,3495
இலக்கியங்கண்ட_காவலர்,5546,659
அங்கும்_இங்கும்,1848,1454
அன்னிபெசண்ட்_அம்மையாரின்_நம்மை_மேம்படுத்தும்_எண்ணங்கள்,1000,657
குன்றக்குடி_அடிகளார்_நூல்வரிசை-3,10430,8331
புறநானூற்றுச்_சிறுகதைகள்,3023,2170
கொல்லிமலைக்_குள்ளன்,2029,1832
பாபு_இராஜேந்திர_பிரசாத்,1164,886
அறிவியல்_வினா_விடை-இயற்பியல்,5042,2974
குருகுலப்_போராட்டம்,855,640
